YEAR,MONTH,DAY,ORIGIN,ID,COUNTRY,REGION,DEPARTMENT_OF_ENERGY,LATITUDE,LONGITUDE,DEPTH,YIELD_1,YEILD_2,PURPOSE,NAME,TYPE;
58,10,12, 75300.0, 58079, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 1450.0, 1450.0, WR, ATMOSPH, BALLOON ;
58,10,13, 132000.0, 58080, USA, NTS, DOE, 37.000, -116.000, -0.500, 1.4, 1.4, WR, LEA, BALLOON ;
58,10,14, 180000.0, 58081, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.115, 0.115, SE, NEPTUNE, TUNNEL ;
58,10,15, 75100.0, 58082, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 1500.0, 1500.0, WR, ATMOSPH, TOWER ;
58,10,15, 160000.0, 58083, USA, NTS, DOE, 37.000, -116.000, -0.002, 0.0012, 0.0012, WR, HAMILTON, TOWER ;
58,10,16, 60000.0, 58084, USA, NTS, DOE, 37.000, -116.000, 0.300, 5.0, 5.0, WR, LOGAN, TUNNEL ;
58,10,16, 142000.0, 58085, USA, NTS, DOE, 37.000, -116.000, -0.150, 0.037, 0.037, WR, DONA, ANA BALLOON ;
58,10,17, 230000.0, 58086, USA, NTS, DOE, 37.000, -116.000, -0.001, 0.024, 0.024, SE, VESTA, SURFACE ;
58,10,18, 95100.0, 58087, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 2900.0, 2900.0, WR, ATMOSPH, ARRIBA TOWER ;
58,10,18, 142500.0, 58088, USA, NTS, DOE, 37.000, -116.000, -0.025, 0.090, 0.090, WR, RIO, ARRIBA TOWER ;
58,10,19, 72700.0, 58089, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 40.0, 40.0, FMS, ATMOSPH, JUAN SHAFT ;
58,10,19, 0.0, 58090, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 0.0, 0.001, WR, ATMOSPH, JUAN SHAFT ;
58,10,20, 82000.0, 58091, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 440.0, 440.0, WR, ATMOSPH, JUAN SHAFT ;
58,10,20, 143000.0, 58113, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0, 0.0, SE, SAN, JUAN SHAFT ;
58,10,21, 0.0, 58092, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 2.0, 2.0, WR, ATMOSPH, BALLOON ;
58,10,22, 82100.0, 58093, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 2800.0, 2800.0, WR, ATMOSPH, BALLOON ;
58,10,22, 133000.0, 58094, USA, NTS, DOE, 37.000, -116.000, -0.500, 6.0, 6.0, WR, SOCORRO, BALLOON ;
58,10,22, 165000.0, 58095, USA, NTS, DOE, 37.000, -116.000, -0.500, 0.115, 0.115, WR, WRANGELL, BALLOON ;
58,10,22, 234000.0, 58096, USA, NTS, DOE, 37.000, -116.000, -0.020, 0.188, 0.188, WR, RUSHMORE, BALLOON ;
58,10,22, 203000.0, 58114, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0, 0.0, SE, OBERON, TOWER ;
58,10,24, 80300.0, 58097, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 1000.0, 1000.0, WR, ATMOSPH, TOWER ;
58,10,24, 150000.0, 58098, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.021, 0.021, SE, CATRON, TOWER ;
58,10,24, 160100.0, 58099, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0017, 0.0017, SE, JUNO, SURFACE ;
58,10,25, 82000.0, 58100, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 190.0, 190.0, WR, ATMOSPH, TOWER ;
58,10,25, 0.0, 58101, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 0.0, 0.1, FMS, ATMOSPH, TOWER ;
58,10,26, 40000.0, 58102, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0007, 0.0007, SE, CERES, TOWER ;
58,10,26, 102000.0, 58103, USA, NTS, DOE, 37.000, -116.000, -0.500, 4.9, 4.9, WR, SANFORD, BALLOON ;
58,10,26, 160000.0, 58104, USA, NTS, DOE, 37.000, -116.000, -0.500, 2.2, 2.2, WR, DEBACA, BALLOON ;
58,10,27, 143000.0, 58105, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0006, 0.0006, SB, CHAVEZ, TOWER ;
58,10,29, 0.2, 58106, USA, NTS, DOE, 37.000, -116.000, 0.300, 0.055, 0.055, WR, EVANS, TUNNEL ;
58,10,29, 144500.0, 58107, USA, NTS, DOE, 37.000, -116.000, -0.010, 0.0078, 0.0078, WR, HUMBOLDT, TOWER ;
58,10,29, 112000.0, 58115, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0, 0.0, WR, MAZAMA, TOWER ;
58,10,30, 30000.0, 58108, USA, NTS, DOE, 37.000, -116.000, -0.500, 1.3, 1.3, WR, SANTA, FE BALLOON ;
58,10,30, 150000.0, 58109, USA, NTS, DOE, 37.000, -116.000, 0.300, 22.0, 22.0, WR, BLANCA, TUNNEL ;
58,10,30, 203400.0, 58110, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0002, 0.0002, SE, TITANIA, TOWER ;
58,10,30, 110000.0, 58116, USA, NTS, DOE, 37.000, -116.000, 0.000, 0.0, 0.0, SE, GANYMEDE, SURFACE ;
58,11,01, 0.0, 58111, USSR, MTR, RUSS,  48.000, 46.000, 0.000, 10.0, 10.0, WE, ATMOSPH, BLEUE TOWER ;
58,11,03, 0.0, 58112, USSR, HTR, RUSS,  48.000, 46.000, 0.000, 10.0, 10.0, WE, ATMOSPH, BLEUE TOWER ;
60,02,13, 70400.0, 60001, FRANCE, REGGANE, ALG,  26.190, -0.040, -0.100, 0.0, 200.0, WE, GERBOISE, BLEUE TOWER ;
60,04,01, 61700.0, 60002, FRANCE, REGGANE, ALG,  26.000, -0.090, -0.001, 0.0, 20.0, WR, GERBOISEBLANCHE, SURFACE ;
60,12,27, 72800.0, 60003, FRANCE, REGGANE, ALG,  26.000, -0.100, 0.000, 0.0, 20.0, WE, GERBOISE, ROUGE TOWER ;
61,04,25, 60800.0, 61001, FRANCE, REGGANE, ALG,  26.000, -0.100, 0.000, 0.0, 20.0, WR, GERBOISE, VERTE TOWER ;
61,09,01, 0.0, 61002, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 16.0, 16.0, WR, ATMOSPH, TUNNEL ;
61,09,04, 0.0, 61003, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 9.0, 9.0, WR, ATMOSPH, TUNNEL ;
61,09,05, 0.0, 61004, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 16.0, 16.0, WR, ATMOSPH, TUNNEL ;
61,09,06, 0.0, 61005, USSR, MTR, RUSS,  48.450, 44.300, 0.000, 11.0, 11.0, WE, ATMOSPH, TUNNEL ;
61,09,06, 0.0, 61006, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 1.1, 1.1, WR, ATMOSPH, TUNNEL ;
61,09,09, 0.0, 61007, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 0.38, 0.38, SAM, SURFACE, TUNNEL ;
61,09,10, 90009.0, 61008, USSR, NZ, RUSS,  74.200, 52.500, 0.000, 2700.0, 2700.0, WR, ATMOSPH, TUNNEL ;
61,09,10, 0.0, 61009, USSR, NZ, RUSS,  73.000, 55.000, 0.000, 12.0, 12.0, WR, ATMOSPH, TUNNEL ;
61,09,10, 0.0, 61010, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 0.88, 0.88, WR, ATMOSPH, TUNNEL ;
61,09,11, 0.0, 61011, USSR, SEMI, KAZAKH,  50.000, 78.000, 0.000, 0.30, 0.30, WR, ATMOSPH, TUNNEL ;
